"filename", "language", "JSON with Comments", "JSON", "PostCSS", "TypeScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\README.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 24, 60
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\angular.json", "JSON", 0, 112, 0, 0, 0, 0, 0, 1, 113
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\package-lock.json", "JSON", 0, 15076, 0, 0, 0, 0, 0, 1, 15077
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 1, 50
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\app.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\app.component.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\app.config.server.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\app.config.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\app.routes.server.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\guards\admin.guard.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 12, 2, 30
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\modelos\producto.models.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\calzado\calzado.component.css", "PostCSS", 0, 0, 81, 0, 0, 0, 8, 15, 104
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\calzado\calzado.component.html", "HTML", 0, 0, 0, 0, 26, 0, 1, 8, 35
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\calzado\calzado.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\calzado\calzado.component.ts", "TypeScript", 0, 0, 0, 164, 0, 0, 1, 12, 177
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\carrito\carrito.component.css", "PostCSS", 0, 0, 53, 0, 0, 0, 2, 5, 60
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\carrito\carrito.component.html", "HTML", 0, 0, 0, 0, 52, 0, 3, 10, 65
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\carrito\carrito.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\carrito\carrito.component.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 9, 10, 64
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\compra\compra.component.css", "PostCSS", 0, 0, 48, 0, 0, 0, 1, 1, 50
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\compra\compra.component.html", "HTML", 0, 0, 0, 0, 119, 0, 2, 10, 131
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\compra\compra.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\compra\compra.component.ts", "TypeScript", 0, 0, 0, 107, 0, 0, 29, 17, 153
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\contacto\contacto.component.css", "PostCSS", 0, 0, 118, 0, 0, 0, 4, 16, 138
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\contacto\contacto.component.html", "HTML", 0, 0, 0, 0, 44, 0, 2, 10, 56
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\contacto\contacto.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\contacto\contacto.component.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\favorito\favorito.component.css", "PostCSS", 0, 0, 69, 0, 0, 0, 7, 8, 84
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\favorito\favorito.component.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\favorito\favorito.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\favorito\favorito.component.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\inicio\inicio.component.css", "PostCSS", 0, 0, 60, 0, 0, 0, 6, 9, 75
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\inicio\inicio.component.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 2, 42
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\inicio\inicio.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\inicio\inicio.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\iniciosesion\iniciosesion.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\iniciosesion\iniciosesion.component.html", "HTML", 0, 0, 0, 0, 32, 0, 23, 7, 62
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\iniciosesion\iniciosesion.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\iniciosesion\iniciosesion.component.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 11, 14, 85
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\oferta\oferta.component.css", "PostCSS", 0, 0, 82, 0, 0, 0, 8, 11, 101
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\oferta\oferta.component.html", "HTML", 0, 0, 0, 0, 43, 0, 20, 11, 74
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\oferta\oferta.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\oferta\oferta.component.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 1, 7, 164
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\producto\producto.component.css", "PostCSS", 0, 0, 133, 0, 0, 0, 8, 18, 159
